,打分,标题,内容
296,1,钉钉真好用,"分期付款《你钉起来真好听》
想在冬天钻被窝
想要熬夜看小说
不料网课作业多
有苦没法说
延迟假期可不少
每日打卡逃不掉
老是看学生列表
就我在傻笑

你钉起来真好听 特别像午夜凶铃
像我专心学习 大妈在广场 放凤凰传奇
你钉起来真好听 像指甲抠墙壁
像我步行 遇到搅拌机 溅我一脸泥
你钉起来真好听 像满清十大酷刑
而我像白居易 要远征维京 秀才遇到兵
你钉起来真好听 像唐僧在念经
像首老歌 把我埋在 遗失的水域
你钉起来真好听 像玩死歌没CD
想我要看电影 抬头一行字 导演郭敬明
你钉起来真好听 像半夜看闪灵
整个世界 有你的鼓励 都关闭手机

建议大家都给个五星
分五次还清"
297,1,主播不给力,听说新的直播软件，结果让主播跳个舞都不跳，还问我是哪个班的
298,1,今天不开心,今天不开心
299,5,你要努力啊,你考上了名校会感谢它的
300,1,开心哦,我们的假期更充实了 开心😁五星好评分期付
301,1,太贴心,。。。
302,1,感谢蝙蝠🦇,给一星，分期付款
303,5,本来就不错。,不错嘛
304,1,虽然真的不错 但作业真的多.......,我想给五星 但想分期付星
305,5,挺好的呀,好好好
306,1,戴口罩也无法打卡,强制人脸识别有点流氓
307,5,不忍心让祖国的花朵没书读，给个五星好评,不忍心让祖国的花朵没书读，给个五星好评
308,5,特别好的一款软件,真的很不错，
309,5,方便,很方便，企业职工福利
310,5,钉钉好惨,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好惨一app
311,1,好软件,真是太好用了 每天都接受知识的洗礼 看到老师可爱亲切的脸 让我在家都能学到知识 爱了爱了
312,1,钉n🐎,给👴🏻滚
313,1,很好用,五星好评分期付款
314,5,路过  就凭你叫的那声爸爸也要帮你,钉钉好惨  哈哈哈哈哈哈哈  忍不住来帮他一把
315,1,艹,害我线上培训十几天
316,1,钉钉是个什么神仙软件啊❤️❤️❤️,钉钉不但丰富了我们的生活，还丰富了我们的作业量，太爱伟大的钉钉了❤️❤️❤️❤️❤️分期付款五天鸭
317,5,感受,很方便，很实用
318,5,钉钉挺好的,一直都觉得钉钉挺好的，没有钉钉我可能下个学期就会变成啥都不知道的高三学生吧，嗯，谢谢钉钉吧🤔
319,5,钉钉,虽然，在家上课吧，通过钉钉也还行！网上上课，尽把钉钉给拉了拉，评分直接下来了，希望越来越好吧！
320,1,这是如此简单的快乐,这点程度是难不倒钉钉的，什么是男人的快乐啊😃不就是这样创造出来的简单乐趣吗，为什么会有人认为评论就一定是一个客观评价，你是所有人的化身？你代表着全人类？这个软件是很出色啊，这个打一星有什么关系，一星对大部分人来说是枯燥中的快乐
321,1,钉钉,看了你们视频来的 给个一星么么哒
322,1,一点也不好用。,谢谢你给了我一个快乐的寒假
323,5,分期五星只是玩笑话,如此特殊时刻，钉钉能够为广大学生和教师提供这么好的一个平台是一个值得人赞美的举动，回报不应该是我们说是玩笑话却真的来评一分的可笑举动。客观评分，不要带入个人的主观情绪，是最起码的礼貌。程序员不易，软件开发不易，请中肯评价。感谢钉钉，高三学生感谢这个平台！
324,1,每日一打卡，加油💪,每日一打卡，加油💪
325,5,我来拯救你了！,钉钉加油啊！
326,1,作业它爹,为什么没有负星...
327,5,1,可怜五岁的孩子
328,1,钉钉是个好东西，所以我分5次给,一次
329,5,好,很好的软件，推荐
330,5,五星好评6666666,66666阿根廷最后一个进球
331,1,五星,很好的软件，五星，分期支付
332,5,听人歌办人事,"u1s1，这软件是设计来上网课的吗？不是吧。
啥事都怪软件，情绪瞎放，家里人没告诉自己的问题自己解决嘛？刷1星的小朋友自己想想，这会儿是不是都开学了，既然开学了还能在家呆着，还能有空闲多睡会了，还贪心想啥都不干，是不是太过了？"
333,1,关于摄像头的问题,垃圾app，垃圾中的垃圾，要不是那只蝙蝠，我根本不会下载这么垃圾的app
334,5,不错,挺好，孩子上网课
335,1,钉钉可真是个神仙软件,无美颜无滤镜照亮你的美啊！自从有了钉钉之后，我的生活真的很“充实”，每天也养成了早睡早起的“好习惯”，每天都能听见老师的声音，看到老师慈祥的脸，我顿时“心安”了！假期虽然加长了，但是作业翻倍了。我可不是被老师逼着下载的，我超“爱”学习和钉钉的！我会携全家人给钉钉五星好评的，不过是分期的喔！
336,1,钉钉软件一般,工作很方便，但是添加了上课差评
337,5,这软件太好了，本来还担心疫情期间孩子的学习问题，现在都不用担心啦！！！！！！！,这软件太好了，本来还担心疫情期间孩子的学习问题，现在都不用担心啦！！！！！！！
338,1,一星好评,在此我不得不给出好评，贵软件使我本来了无生趣百无聊赖的假期生活变得充实而又快乐，于自我荒废之时拯救了我，让我体会到了学习的美妙，同时使我多年以来网上学习的梦想成为了现实，感谢钉钉
339,5,环保,good
340,1,我本来是要给5星的，只是要分五次慢慢给。日子是慢慢过的，大家都别急……,我本来是要给5星的，只是要分五次慢慢给。日子是慢慢过的，大家都别急……
341,1,钉钉,你太好了，所有我要一星一个的对你
342,1,不好用,非常不好用
343,1,.,看在马云小可爱的份上给你一🌟
344,5,软件真的挺好用。,作为一个大学生，如今也被网课支配，但是我不得不承认这个软件做的真的挺强的。比我用的其他几个网课app好太多了，看网上好多人给钉钉一⭐，我实在看不下去了。决定为钉钉正名！加油钉钉！
345,5,钉钉求饶,看了你求饶的视频，我来了给你五星好评了😂
346,1,真好,不错 停课不停学 一星好评！！！！🙃
347,5,很好用,超好用的产品，五星好评，分期付清！
348,5,钉钉真棒！,现在上网课全靠钉钉了，多亏了它，我才能在家认真学习。
349,5,5星,看你可怜，5颗星就不分期付款了
350,5,非常好用,让我有了学习快乐（五毛一条）
351,1,分期一星,我不是学生党，这个APP真好，休班在家也能办公，懒觉都睡不成，必须好评，先分期吧，不知道服务如何。
352,5,沟通无障碍,非常适合现阶段的沟通
353,1,呵呵,奥力给
354,1,投诉,"我们上课上了几分钟都能调出来，这什么软件
其他的都挺好"
355,5,🌟🌟🌟🌟🌟,"？真的没必要
做个软件不容易"
356,1,特别好,感觉时刻被监视 差不多得了
357,5,难,才七点。弄了句 晚上好，请注意休息。请问，我休息的下去嘛托我朋友之邀来给你评论了
358,5,扒拉扒拉balabala小魔仙,挺好的
359,1,我太谢谢你了！,这是给人用的吗？我真的**谢谢你开发出这么**的软件
360,5,非常好👍,反正我们上课不用我弟弟要用为了不让钉钉下架必须五星好评
361,1,不能出门 差评,差评
362,1,..,我给你五星 只不过是分成五次给🙄🙄🙄🙄🙄🙄
363,1,那几我就是不爽,不爽h
364,5,好吧,看在你的歌的面子上，放过你了🌚
365,5,实力,心疼你，但是还是忍不住想笑，打个五分安慰一下这个五岁的孩子
366,1,我明明提交了，你却没显示？,害我被老师骂，你活该1星
367,5,我寻思您不愿意学可以不学,没必要来这拿软件撒气吧？这就是当代孩子？以后即将接管整个中国的孩子？单反有一点点同理心和智商也不至于做出这种恶臭的事情吧？不想学可以不学，退学之后没人逼你学习，最开始想到这个办法的人不是傻子而是缺德，盲目跟风的那群人才是蠢到骨子里
368,1,哈哈哈哈,别问我为什么给你一🌟好嘛宝贝问就是爱情了💑……12345678912345678899885556
369,1,资本家的急先锋,有着把工作和揉碎了捏在一起的本领！资本家的镣铐、黑心老板的捆绳。这应用化作一个索套，套在千万老公的脖子上，越挣扎越紧，勒的缓不过来气。翻看宪法，我们还是社会主义国家，那么怎么会有这种榨干骨血的应用？
370,1,感觉棒棒棒哒,感觉棒棒棒哒
371,1,分期付款来了,为什么其他网课软件没有被打一分，就钉钉成为众矢之的？其中原因自己心里不清楚吗，装什么无辜莫名其妙
372,5,希望工作都在钉钉而不是微信,希望工作都在钉钉而不是微信
373,1,出bug？,群里开了消息免打扰一直推送消息？！！？
374,5,加油钉钉,太好用了
375,1,钉*,但是丁丁让我们学习。＂感谢＂钉钉
376,5,我觉得还行啊,我虽然也不想上课，但是早晚都要上不是吗，何必呢刷一星，你刷一个软件老师还能给你再找一个😂，这样也没什么用，不过钉钉你直播有时候有点卡（理解理解）
377,5,钉钉要坚强啊！！,钉钉来求放过了……😂😂😂本来不想打分的，来刷个五星鼓励一下，加油啊！！！钉钉！！！你们不应止步于网课学习啊！！！唉:-(
378,1,666,这么好的软件，给6分，溢出来一分
379,1,真好,必须滴！一星好评！！！太麻烦了！气死我吧！
380,1,哈哈哈哈,哈哈哈哈哈
381,5,钉钉真的很好，请大家理性评分！！！,网课只不过是钉钉的一部分，请大家不要因为厌恶网课而厌恶钉钉。现在大家应该痛恨的是吃野生动物以及卖野生动物的恶人！！疫情还在不断蔓延，希望大家照顾好自己，出门戴口罩！中国加油！武汉加油！浙江加油！
382,1,钉钉厉害,不说什么了，大家都懂
383,5,钉钉温暖你的寒假,不行了钉钉花式求饶太好笑了虽然我是高一但我们只要看网络直播做笔记就好了所以特地前来下载给个五星，说实话刚才突然钉了一下是真的可怕哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
384,5,。,看在某些人的面子上，给你打五星。👍🏻
385,1,🤢,好评！ 五颗星分期付款
386,1,真棒,谢谢，我由衷的感谢钉钉给了我个充实的假期，我永远不会忘记！
387,1,垃圾软件,垃圾软件
388,1,一星原因,互动交流效果差，直播的话可以更好，使用不太方便，钉钉项目可以多一点吸引兴趣
389,1,憨憨鲸鱼被打,这个软件使我的学习更加轻松了
390,1,钉钉在ipad上的bug太多，兼容性很差,"国内高校在读大学生，绝不是无脑一星
1 支付宝快捷登录后界面卡住
2 图标显示不全
作为阿里的产品还这么多bug，远低于期望值，因此打一星"
391,5,钉宝,给钉宝打call！钉宝加油！
392,1,解放小朋友,其实这个软件还真不适合用来上课。
393,1,很烦！幼儿园都要喊用钉钉,上班的要钉钉打卡还可以理解，三岁小朋友上个幼儿园，天天在家，还要下载钉钉，搞东搞西，烦死人！
394,5,很好很好,这个钉钉真的很不错哦！
395,1,满分好评,钉钉主播质量不行啊 让她跳个舞她都不跳 还问我那个班的
396,5,钉钉真的挺好的督促我完成作业,加油
397,1,给钉钉一些建议,我建议钉钉先暂时限制一下直播和打卡功能，减轻孩子的负担，孩子们高兴了五星就有可能回来了
398,5,软件是个好软件，主播不是好主播,什么软件，里面的主播让跳个舞都不跳，还一直问我几班的😒😒
399,5,。。。。。,。。。。。。。。
400,5,钉钉没有错！！,钉钉是很好的软件，因为不想上学把情绪发泄在无辜的人身上是最幼稚的！！钉钉加油！！
401,1,五星好评，分期付款,钉钉求饶？不好意思，现在的少侠都不吃这套🌝
402,1,垃圾,垃圾钉钉 毁我青春浪费我时间 学生们玩不转也就算了 我们工作上报为什么也要用钉钉 弄了一个下午都弄不好 一点也不人性化 太复杂太乱了 头都大了
403,1,中国加油,不要道德绑架吧，各有各自的想法，直播上课确实不太好
404,5,强力推荐,系统专业，运行稳定，功能强大，还免费，强力推荐。
405,1,钉钉很好用喔,是真的好用，一星好评
406,1,自由的钉钉。,"我非常高兴能够有这么一个软件, 使我十分
快乐，他让我提前结束了寒假生活。我自愿下载这个软件的。自愿提前结束寒假生活。使我十分快乐。谢谢你。"
407,1,呵呵呵,如此美好的假期就从钉钉开始
408,1,真的垃圾,lj
409,1,不错app哦,真好
410,5,在线课堂,非常喜欢这个软件
411,5,太不容易了,钉钉实惨
412,1,垃圾软件，毁我青春,太好用了，太爱钉钉了，让我的假期充满痛苦
413,5,来参观一星评论,挺壮观的
414,5,武汉加油，钉钉程序员辛苦了,加油加油
415,1,(ꏿ᷄દꏿ᷅` ;)干啥啥不行,卡死了， logo像🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇🦇
416,5,加油钉,歌唱的给5星
417,1,任性，就给一星。,任性，就给一星。
418,1,就这软件刷五星？,别刷分了朋友们
419,5,评价,钉钉为孩子们提供了学习的平台，感谢！
420,1,钉钉真的是个很好的软件,你一星我一星，钉钉明天就不行
421,1,这个软件真好用,6星好评😊
422,1,真香,太好用了，就是主播不跳舞，还问我哪个班的
423,1,为难学生党,让这个假期没了假期的感觉
424,1,恶心的软件,恶心恶心恶心恶心恶心
425,1,垃圾软件,钉钉一个以老板为核心的软件，适合控制欲强的boss
426,1,？,我吐了
427,5,别下架！,笑死我了啊
428,1,太好用了,实在是太好用了，电脑版直播甚至不给调音量。太棒了，这是我第一次见到在app srore有这么多真人评价这软件太好了吧
429,5,钉钉挺好的,不能怪钉钉，要怪老师！心疼钉钉
430,5,超棒的钉钉！,虽然有很多同学不喜欢上课 不喜欢早起不喜欢让假期消失 但这也不能怪钉钉这个软件啊 试想你们要是现在如期开学了 结果还不是一样？ 那些乱入主观感情的激情分子们，收一收自己的不满，问题不在钉钉上！说真的钉钉超棒！
431,1,跟风,无关钉钉事，但吐槽为什么举办个活动整的那么小气
432,1,我爱钉钉！,钉钉太好用了。我爱打卡爱学习！五星好评！一定分期付清！
433,5,学渣受死,一群毫无上进心毫无斗志的垃圾学渣再肆无忌惮得摧毁别人的心血
434,1,🙃,终于对我下手了🙃
435,1,这个软件真的👌。,没有一点隐私权，好。
436,5,15级毕业生,15级毕业生发来贺报
437,1,使用复杂，乱七八糟的，,不好用，刚开始注册非得问老子哪个公司的，我他们一个学生你非让老子填职业与公司才能进去，填你吗，就不能先进去再填个人信息？
438,1,这几天眼睛都模糊不清了,视频培训起来没日没夜，脑子懵了，眼睛也看不清了
439,5,bjyxszd,不容易 太惨了
440,1,好用,软件很好用
441,1,lj钉钉,这个软件很好，本来假期延长我非常难过，见不到老师，但是钉钉给了我希望，让我的假期非常充实，作业加倍八点上课晚上九点结束，真是太开心了，给你一星好评！
442,1,不行,不行
443,1,钉钉,"很好，就是作业太多了，
哈哈，你们懂的"
444,1,爱了,我爱丁丁
445,1,我受夠了釘釘的迫害,"此生無悔入釘釘，分期付款給五星。

★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆"
446,1,谢谢您,您辛苦了最近手头紧蚂蚁花呗还没还五星就分期付啦谢谢您让我的假期如此充实我爱您
447,1,我爱钉钉 爆粗口的爱,为什么要发明这个玩意！
448,1,感谢钉钉带来的作业,今天心情不好，一星差评
449,1,烂透了,本来我们也不是办公室工作，要求下载这个东西，难道微信不能说话不能分享文件吗………
450,1,棒极了,这个软件太好用了！
451,5,好软件,软件真的挺好的 好就好在我不用上网课
452,5,抱歉钉钉,我是一个初二的学生，在当时特愤怒，好好的假期还要上课，但后来想想不是钉钉的错（为那句爸爸而来）
453,1,丁丁,垃圾
454,1,不谢，一星好评，建议停用,向一星进发
455,1,怎么不能给0星？,垃圾软件
456,5,Nb,随时都可以上课
457,1,良心软件,自从有了钉钉每天过的好充实
458,1,支持钉钉,钉钉这个软件真的太好用了我给五星！剩下的四星分期给
459,5,新收的孩子应该意思意思,既然都当了爸爸了，就给个五星吧
460,1,优秀的软件,"为了表达这个软件优秀 我觉得5个星不够
所以我决定给他500个星 每次给一个 这样我还能评论499次 为太机智了"
461,1,真是个好软件,五星好评，分期付款
462,5,看完B站来的,"其实软件本身并不差，钉钉本身也没有错，有错的是一些过于功利和过于形式化的教育思想以及恶意跟风差评的人

求饶视频不错，㐃五星一次到帐"
463,5,很棒,别乱黑差评了
464,1,一星好评,真的很优秀
465,1,钉钉是我最爱的软件,钉钉最棒 姐永远支持你！！！！！
466,1,不好用，看不懂,不好用，差评
467,5,真心喜欢,太喜欢这个app了 作业翻倍 课程不停
468,1,分期付款,五星分期付款哦加油
469,1,分期第二期,"2.19星期三天气晴
今天也是学习的一天 星不够多"
470,1,好家伙,这个叫钉钉的软件 是个好东西啊 让我悠闲地幸福生活充实起来！
471,1,钉钉这个软件太好了吧,我靠 自从上了网课 我感觉我已经领悟到了生命的可贵 必须得给这软件 来一个大大的六星 这多出来的一颗心当我送你
472,5,小学生们颤抖吧,这个软件真好用让假期减少了许多小朋友
473,5,钉钉也不容易,我实话：歌挺好听的
474,5,还好吧,不能因为一个网课就给人家差评，这是一种网络暴力，归根结底也只是找不到别的发泄手段而已
475,5,我是友军,刷字数刚刚放寒假经济环境和健康和疾病把v和工程规划v没看见部分地方的感觉很好的谷底军事基地后悔不迭就死死进行面对面就肆无忌惮决定每年都会对思考的计算机考试快结束的话表达你对思考技术协会设计系私信哦哦送PSP四十几岁女孩都很难喜欢好多好多话和一位马毛嬉皮笑脸想开下门制霉菌素7我会接受坚决维护好喜欢丹江口市好好对看下那些不锈钢材与时俱进是你的活动倒计时科技兴农能杀死细菌我难过的不行你随时可能的话的意思私交甚笃弟弟我就会带给翻译口iu科技股份计算机化小孩都会对不可无私心事不关己就都好想你上课的韩国从古到今金色年华都洗洗就睡你的活动和此刻都是假的哦哦我看见某些嫁鸡随鸡绝对堪称脑出血昆明新年惊喜哦送惊喜呢还是经济区
476,1,垃圾,一天到晚随时钉的轰炸，没打卡也不提醒，该提醒不提醒，不该提醒有事没事给你来声钉？？！！
477,5,中国加油武汉加油白衣天使加油(ง •̀o•́)ง,钉钉很不错，刷分
478,1,分期付款,五星好评分期付款
479,1,好,钉钉真是一个好软件
480,1,丁丁🐂🍺,这个钉钉用的我不行了
481,5,好,好桻
482,1,钉钉太好用了,我想给你5星，但我喜欢分期付款
483,5,1,低于1星下架了就，小学生就能玩游戏了，钉钉加油💪
484,1,Good,Very good
485,1,没得商量,就凭一份恨
486,1,钉钉真好,钉钉让我们美好的假期变得更“充实”了
487,1,呵呵,心情不好一颗星
488,1,钉钉太＂好＂了,因为太好了，所以
489,1,不知道存在的价值是什么？不好用！,功能太多，复杂，我们用的时候很少，像企业用的话，一个月也就看安心个工资条而已！现在也不用了！麻烦。说真的，不如微信！
490,1,钉钉很好,你很好。只是我配不上你。
491,1,1,儿子 送你5课星吧 分5次得
492,5,我爱钉钉,钉钉挺好的，钉钉挺好用的，真的是，垃圾小学生乱评论，鸡你太美。
493,1,呵呵,真的我天，钉钉你们的铃声真是我的恶梦，停课不停学还带加作业，这铃声一响就恼火的要死，没在家憋疯被逼疯，你们这个软件对我们祖国的花朵的发展真是太棒了。。。
494,5,喜欢钉钉,绿色创业软件
495,1,这个软件太棒了👍🏻,这个软件太棒了激化家庭矛盾因为太棒了所以要求下架 给个一星支持支持👍🏻
496,1,嘿嘿,嘿嘿 嘿嘿 嘿嘿嘿
497,5,恶意评分没意思,大家都挺辛苦的 老师也不愿意上课 你搞人软件干什么
498,1,一星好评,祸害学生的软件
499,5,希望理性评分,本人是一名初三学生，即将迎来中考，本来应该在最后一学期迎来冲刺，但是疫情打断了我的学习进程，我们急需要为中考奋斗，虽然这次打断了上课，但寒假时间没有缩水，我们也是时候开始奋斗了，而且软件本身还是很好用，还是一句话，想学的认真学，不想学的就离开，这里不需要你来发泄。
